"You will be redirected to Adyen website when you place an order.","Você será redirecionado para o Site da Adyen quando cria um pedido."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s (Qtd: %s) (Preço: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s","Adyen %s <br /> authResult: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s","Resposta(s) Adyen: %s <br /> pspReference: %s <br /> sucesso: %s"
"Adyen response(s): %s <br /> pspReference: %s","Resposta(s) Adyen: %s <br /> pspReference: %s"
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Can not connect payment service. Please try again later.","Não foi possível conectar ao serviço de pagamento. Por favor tente mais tarde."
"Capture Mode set to Manual", "Modo de captura configurado para Manual"
"Customer was redirected to Adyen.","O Cliente foir redirecionado para Adyen"
"Order can not Hold","Pedido não pode ser 'Segurado'"
"Order can not be canceled","Pedido não pode ser cancelado"
"Order rows: <br />","Pedido linhas: <br />"
"Shipment cost: %s %s <br />","Custo de envio: %s %s <br />"
"System error, please try again later","Erro de sistema, por favor tente denovo mais tarde"
"System error, please try again later: %s","Erro de sistema, por favor tente denovo mais tarde: %s"
"The payment is REFUSED by Adyen.","O pagamento foi RECUSADO pela Adyen"
"You will be redirected to Adyen in a few seconds.","Você será redirecionado para Adyen em alguns segundos."
"Your payment failed, Please try again later","Seu pagamento falhou, Por favor tente denovo mais tarde"
"--Please Select--","--Por favor Selecione--"
"Account Number","Número da Conta"
"Account holder name","Nome do titular da conta"
"Account holder: %s","Titular da conta: %s"
"Account number: xxx%s","Número da conta: xxx%s"
"Bank Location","Localização do Banco"
"Bank Location (City)","Localização do Banco (Cidade)"
"Bank Location ID","ID de Localização do Banco"
"Bank Name","Nome do Banco"
"Bank code: %s","Código do banco: %s"
"Bank name: %s","Nome do banco: %s"
"Card Verification Number","Código Verificador"
"Credit Card Number", "Número Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type", "Bandeira do Cartão"
"Credit Card Type: %s","Tipo do Cartão de Crédito"
"Expiration Date", "Data de Validade"
"Expiration Date: %s/%s","Data de Validade: %s/%s"
"Name on Card", "Nome do Titular do Cartão"
"Name on the Card: %s","Nome impresso no Cartão: %s"
"Payment Method: %s","Médito de Pagamento: %s"
"Submitting payment information...","Enviando informação de pagamento..."
"What is this?","O que é isto?"
"Order email sent to shopper.","Email de pedido enviado para o lojista."
"The payment is PENDING by Adyen.","O pagamento está PENDENTE pela Adyen."
"The payment is AUTHORIZED by Adyen.","O pagamento foi AUTORIZADO pela Adyen."
"There has an error occurred with your Adyen payment.","Um erro ocorreu com seu pagamento com Adyen."
"There was an error with your payment.","Houve um erro com seu pagamento."
"You will be redirected to Adyen website when you place an order.","Você será recirecionado para o site da Adyen quando finalizar seu pedido."
"Your payment is cancelled.","Seu pagamento está cancelado."
"Your payment is CANCELLED","Seu pagamento está CANCELADO"
"Your payment is pending.","Seu pagamento está pendente."
"Your payment is refused.","Seu pagamento está recusado."
"Your payment is authorized.","Seu pagamento está autorizado."
"Installments","Parcelas"
"Year","Ano"
"Month","Mês"
