sku,image,small_image,thumbnail
PF02,/PF02 borstel.gif,/PF02 borstel.gif,/PF02 borstel.gif
PF035,,,
PF05.EL,/PF05 2010.jpg,/PF05 2010.jpg,/PF05 2010.jpg
PF05.L,/PF05 2010.jpg,/PF05 2010.jpg,/PF05 2010.jpg
PF05.M,/PF05 2010.jpg,/PF05 2010.jpg,/PF05 2010.jpg
PF05.S,/PF05 2010.jpg,/PF05 2010.jpg,/PF05 2010.jpg
PF08.EL,/PF08 2010.jpg,/PF08 2010.jpg,/PF08 2010.jpg
PF08.L,/PF08 2010.jpg,/PF08 2010.jpg,/PF08 2010.jpg
PF08.M,/PF08 2010.jpg,/PF08 2010.jpg,/PF08 2010.jpg
PF08.S,/PF08 2010.jpg,/PF08 2010.jpg,/PF08 2010.jpg
PF10,/PF10 Handheld-bottle_perfekta.jpg,/PF10 Handheld-bottle_perfekta.jpg,/PF10 Handheld-bottle_perfekta.jpg
PF11,/PF11 Big bag.jpg,/PF11 Big bag.jpg,/PF11 Big bag.jpg
PF12,/NR belt.gif,/NR belt.gif,/NR belt.gif
PF13,,,
PF14,/PF145.jpg,/PF145.jpg,/PF145.jpg
PF15,/PF15 mobilficka.jpg,/PF15 mobilficka.jpg,/PF15 mobilficka.jpg
